Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,?,145.475000,split,435.475000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"Chan: RV38
Modes: parrot
София - връх Мургаш
група 145.475 MHz",,,,
1,LZ0ARB,439.450000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,FM,5.00,,50W,"Chan: RU756
Modes: analog
Велико Търново - Арбанаси (РПЦ Резонанс)
",,,,
2,LZ0ARD,144.875000,,0.000000,,79.7,79.7,023,NN,023,Tone->Tone,DMR,5.00,,50W,"Modes: dmr
Банско - Стефан Стамболов 31
http://lz0pnp.freeddns.com
Мощност: 5W
Антена: Diamond X30",,,,
3,LZ0ASG,439.600000,-,7.600000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,FM,5.00,,50W,"Chan: RU768
Modes: analog
Асеновград - хълм, южно над града
",,,,
4,LZ0ATV,439.425000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,DMR,5.00,,50W,"Chan: RU754
Modes: dmr
София - хотел Копито
",,,,
5,LZ0BAN,439.150000,-,7.600000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,FM,5.00,,50W,"Chan: RU732
Modes: analog
Банско - връх Тодорка
",,,,
6,LZ0BDZ,145.350000,-,0.600000,,79.7,79.7,023,NN,023,Tone->Tone,FM,5.00,,50W,"Chan: R14, RV28
Modes: analog
Бузлуджа
",,,,
7,LZ0BGM,439.300000,-,7.600000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,FM,5.00,,50W,"Chan: RU744
Modes: analog
Мусала - връх Мусала
",,,,
8,LZ0BGM-1,439.350000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,FM,5.00,,50W,"Chan: RU748
Modes: analog+fusion
Мусала - връх Мусала
",,,,
9,LZ0BGN,439.200000,-,7.600000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,FM,5.00,,50W,"Chan: RU736
Modes: analog
Бузлуджа
",,,,
10,LZ0BGR,439.000000,-,7.600000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,FM,5.00,,50W,"Chan: RU720
Modes: analog
София - връх Черни връх
",,,,
11,LZ0BGY,439.600000,-,7.600000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,FM,5.00,,50W,"Chan: RU768
Modes: analog
Ябланица - връх Драгоица
+ радиолинк с LZ0DOE",,,,
12,LZ0BOT,145.650000,-,0.600000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,FM,5.00,,50W,"Chan: R2, RV52
Modes: analog
Ботев - връх Ботев (НУРТС)
 Ретранслатор с национално значение.",,,,
13,LZ0BSK,438.850000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,FM,5.00,,50W,"Chan: RU708
Modes: analog
Карлово - водна електроцентрала
",,,,
14,LZ0CUM,145.675000,-,0.600000,,79.7,79.7,023,NN,023,Tone->Tone,FM,5.00,,50W,"Chan: R3, RV54
Modes: analog
Сливен - връх Чумерна, хижа Чумерна
 Ретранслатор с национално значение.",,,,
15,LZ0DAA,438.525000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,Auto,5.00,,50W,"Chan: RU682
Modes: dstar
София - Копитото (НУРТС)
",,,,
16,LZ0DAB,438.550000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,Auto,5.00,,50W,"Chan: RU684
Modes: dstar
София - Копитото (НУРТС)
DMR+ и XLX023B",,,,
17,LZ0DAD,438.500000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,DMR,5.00,,50W,"Chan: RU680
Modes: dmr+dstar+fusion
Слънчев Бряг - връх Еделвайс (НУРТС)
",,,,
18,LZ0DAF,438.450000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,DMR,5.00,,50W,"Chan: RU676
Modes: dmr+dstar
Царево - връх Папия
",,,,
19,LZ0DAM,439.275000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,Auto,5.00,,50W,"Chan: RU742
Modes: dstar
Мусала - връх Мусала
Линк към реф. XLX-359 и BM 284359.",,,,
20,LZ0DAO,438.450000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,Auto,5.00,,50W,"Chan: RU676
Modes: dstar
Гоце Делчев - връх Ореляк (НУРТС)
",,,,
21,LZ0DAP,438.500000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,Auto,5.00,,50W,"Chan: RU680
Modes: dstar
Пловдив - Здравец (НУРТС)
",,,,
22,LZ0DAR,438.250000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,DMR,5.00,,50W,"Chan: RU660
Modes: dmr+dstar+fusion
Русе - (НУРТС)
",,,,
23,LZ0DAT,439.525000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,Auto,5.00,,50W,"Chan: RU762
Modes: dstar
Банско - връх Тодорка
",,,,
24,LZ0DAV,438.550000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,DMR,5.00,,50W,"Chan: RU684
Modes: dmr
Варна - Франгата (НУРТС)
",,,,
25,LZ0DAX,438.400000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,Auto,5.00,,50W,"Chan: RU672
Modes: dstar
Шумен
",,,,
26,LZ0DAX,438.350000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,Auto,5.00,,50W,"Chan: RU668
Modes: dstar
Хасково - (НУРТС)
",,,,
27,LZ0DBS,439.600000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,Auto,5.00,,50W,"Chan: RU768
Modes: dstar
Бургас - м. Чиплака
",,,,
28,LZ0DBU,439.525000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,Auto,5.00,,50W,"Chan: RU762
Modes: dstar
Бургас
",,,,
29,LZ0DCH,439.200000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,DMR,5.00,,50W,"Chan: RU736
Modes: dmr
Добрич - ул. Панайот Хитов
",,,,
30,LZ0DDA,438.450000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,DMR,5.00,,50W,"Chan: RU676
Modes: dmr+dstar+fusion
Петрохан - връх Петрохан (НУРТС)
",,,,
31,LZ0DDK,439.575000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,DMR,5.00,,50W,"Chan: RU766
Modes: dmr
Шумен
",,,,
32,LZ0DDS,439.625000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,DMR,5.00,,50W,"Chan: RU770
Modes: dmr+dstar+fusion
Сливен - Карандила (НУРТС)
",,,,
33,LZ0DGD,438.450000,-,7.600000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,FM,5.00,,50W,"Chan: RU676
Modes: analog+dmr
Гоце Делчев - връх Ореляк (НУРТС)
Мрежа DMR+ и XLX023.",,,,
34,LZ0DIM,439.475000,-,7.600000,,79.7,79.7,023,NN,023,Tone->Tone,FM,5.00,,50W,"Chan: RU758
Modes: analog
Димитровград
",,,,
35,LZ0DLC,439.225000,-,7.600000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"Chan: RU738
Modes: analog+dmr
Пловдив - стъкларски завод до хижа Здравец
",,,,
